Brand,Score
지오다노,3
모이몰른,1
날씨요정,1
치크,1
오즈키즈,1
HAS,1
BAY-B,1
카르닉,1
제비표우의,1
베베드피노,2
RAINFREEM,1
바니키즈,1
노르디코,1
빔보빔바,1
에끌,1
단다니,2
브루클린웍스,2
다이소,3
아가방,3
밀로앤개비,2
스프렉스,2
블랙야크,3
이케아,3
코코리따,2
어니우니,2
산리오,1
로엠걸즈,1
니코앤드,1
돗투돗,1
네파,2
몽벨,2
스몰리,2
FRANCFRANC,2
가드맨,2
네이처하이크,2
스콕스,1
아이엘드,1
데카트론,1
블루독,1
페리미츠,1
나이키,3
929,1
K2,3
디어레인,2
아이더,3
밀레,3
슈펜키즈,2
베네통키즈,2
TS,1
씨티라이프,1
MEC,3
율그란,2
밀리밤,2
에버랜드리조트,1
핑크퐁,1
아이러브제이,1
데일리라이크,1
한스펌킨,2
자라,3
센시엠,2
테슬라,2
시나모롤,2
스테판조셉,2
온아이,2
헌터,1
해피랜드,2
피터젠슨,1
레노마,3
베어버스,1
마운티아,1
캐스키드슨,2
보보쇼즈,2
JAJU,3
피치애플,1
리틀그라운드,1
뉴엔,1
웨스트우드,2
헬로키티,2
베베슈에뜨,2
뉴발란스키즈,3
모비가든,2
스케이터,3
유호랑,2
MILLET,3
바버,2
스파오,3
밍크뮤,1
허그미,1
메디위,1
로로샤,1
노스페이스키즈,3
프리미에쥬르,2
씨투써밋,1
따블리에,1
H&M,3
헬리콘텍스,2
스토리빙,2
캔디베이비,1
BUCK703,1
노스페이스,3
아트박스,2
엠케이,3
아가타,2
압소바,1
마이독스,1
프리마클라쎄,1
디즈니,3
무민,3
아이스비스킷,2
모던하우스,3
베비몽,2
듀플렉스,3
도로시,1
미니도우,1
콜핑,1
행운이네,2
BCBG,1
데이비스,1
린덴,1
블루독베이비,1
캔버라,1
페니스칼란,2
니엘로,1
울프라운치,2
블루마운틴,2
미키하우스,1
피엘라벤,1
엑스피크,1
쉬즈미스,2
오조크,2
리스트,1
보브,3
씨씨콜렉트,3
ZOOC,3
SOUP,3
더아이잗,2
미쏘,3
아뜨랑스,2
올리브데올리브,2
비지트인뉴욕,2
꼼빠니아,3
아쿠아스큐텀,2
나이스클랍,1
로엠,1
크로커다일레이디,3
온앤온,3
올리비아로렌,3
라인,2
잇미샤,2
스튜디오톰보이,3
아이잗바바,3
케네스레이디,2
시슬리,2
리베레츠,3
듀엘,3
JJ지고트,3
더아이잗컬렉션,3
시스티나,3
지컷,2
enc,3
지센,2
베스띠벨리,2
SI,3
에잇세컨즈,3
코펜하겐럭스,3
GGPX,2
미센스,2
쥬시쥬디,1
올리비아하슬러,3
COS,3
브리엘,2
지고트,1
리오벨,1
SIGNATURE,1
제너럴아이디어,1
샐리,2
무인양품,3
머스트비,2
미니멈,2
반에이크,1
Calvin Klein Performance,3
카인드,2
마르조,2
안지크,2
르아브,1
르오트,1
발렌시아,3
라인어디션,3
랩,3
키이스,2
플라스틱아일랜드,3
까웨,2
베네통,3
폴앤조,3
PAT,3
샤트렌,3
레노마레이디스,2
조이너스,2
에잇컨셉,3
솔로이스트,2
후라밍고,3
헤지스,3
린,2
코벳블랑,2
캐리스노트,1
버커루,1
레코브,1
더틸버리,1
엠씨,3
라우렐,2
보니스팍스,1
나인,2
포커스,1
조르쥬레쉬,2
요하넥스,1
르샵,1
아테스토니,1
셀렙샵,2
프롬헤드투토,2
CLOVIS,2
리안뉴욕,1
에고이스트,2
베라왕,3
로렌하이,3
앤클라인,3
올앤선드리,3
ab.f.z,2
닥스,3
벨라디터치,2
써스데이아일랜드,3
세루티,3
기비,3
무자크,2
제시뉴욕,1
루어스룸,3
타미힐피거,3
빈폴레이디스,3
올리비에스클로젯,3
악녀일기,1
마인드브릿지,3
Calvin Klein Underwear,3
비비안,3
게스언더웨어,3
코데즈컴바인이너웨어,3
비너스,3
발레리,3
원더브라,3
플레이텍스,3
캘빈클라인,3
푸마,3
예스,2
휠라인티모,3
도로시와,3
리바이스바디웨어,2
EBLIN,3
엘르이너웨어,3
어도리쉬,3
아디다스,3
크로커다일,3
오모떼,1
섹시쿠키,1
FEB,2
휠라,3
BABARA,3
아네타,3
저스트마이사이즈,2
리복,3
덴젤,1
버블돌,1
컴포트랩,2
라보라,1
세컨스킨,2
진짜편한속옷,1
로즈버드,1
에이세,1
엘르,3
보디가드,3
COWELL,2
빅토리아시크릿,3
릴렉시즘,3
단스킨,2
로맨시스,2
더잠,2
글램브라,2
리바이스,3
헤스떼벨,2
갭,3
제임스딘,2
고아라,1
오렐리안,1
솔브,1
트라이엄프,1
마띠에르,3
슈프림,2
라운테스,3
푸마바디웨어,2
알레상스,3
코스트몰,2
Calvin Klein Jeans,3
비너스자스민,2
코너스위트,1
올리비아바비,1
엘레바,1
비브비브,1
헤링본,1
DAB,3
힙핑크,2
DKNY,3
BARBARA,3
엠포리오아르마니언더웨어,2
피트인,3
슬로기,3
라페어,3
슬림9,2
헤드,3
체리코코,2
데일리앤,2
트위,1
탑텐,3
코데즈컴바인,3
모조에스핀,3
양놀,1
나인스텝,3
폴햄,3
난닝구,1
아웃도어프로덕츠,2
파슨스,2
칼라거펠드,2
밸리걸,2
모르간,2
나이브,2
러브앤쇼,1
오즈세컨,1
탱커스,1
오조이,1
이프네,1
미엘,1
IMI,1
매긴,1
디스커버리익스페디션,2
후아유,1
마리끌레르,1
캉골,1
제로스트릿,2
라코스테,3
리리앤코,1
아페쎄,3
널디,1
BNX,1
리린,1
부루앤쥬디,2
시에로,1
까사렐,2
르니앤맥코이,2
잠뱅이,1
샤틴,2
LOOKAST,2
미도리,1
스테파니,1
온도바이헤이,2
DALTON,1
헤지스레이디스,3
게스,3
스튜디오화이트,2
원스,2
에이본,2
메이킹유,2
블루페페,3
JEIKEI,2
카라,2
안나수이,1
스테파넬,2
코인코즈,2
당당걸,1
메이리앤,1
레니본,1
비뮤즈맨션,1
폴로,3
폴로랄프로렌,3
지오지아,3
프로젝트M,2
시티브리즈,2
랄프로렌,3
폴리곤,2
로라로라,2
앤듀,2
비바,1
브룩스브라더스,2
빈폴,3
BEANPOLE KIDS,3
비키니밴더,1
바인드,1
핑크피그,1
올젠,3
타미진스,3
앤드지,3
레노마키즈,3
지스튜디오,2
엘텍몰,3
케네스콜,2
비욘드클로젯,2
몽돌,2
LBL,1
론론,1
커스텀에이블,3
TBJ,2
캉골키즈,1
베이시코,1
컨셉원,3
내셔널지오그래픽키즈,3
STCO,3
바쏘옴므,3
커버낫,3
클라이드앤,3
폴햄키즈,3
신디키즈,3
로아앤제인,1
벤시몽,1
시리즈,1
벨로,2
바쏘,3
우알롱,2
시야쥬,2
지베르니,2
커먼유니크 ,1
애드호크,2
라삐아프,1
용된다,2
스타일온에어,1
틸아이다이,1
잇터,1
마리떼프랑소와저버,2
바이탈싸인,2
고비,1
얀13,1
로렌랄프로렌,3
AHWE,1
망고,1
산드로,1
베지터블,1
시엔느,1
유닛,2
리플레인,2
아티클레븐,1
유니클로,3
드파운드,2
YUPPE,1
온스,2
YUSE,2
다이애그널,2
니콜,2
루에브르,1
코텔로,1
마시모두띠,1
마뗑킴,1
SJYP,1
피스메이커,1
나무그림,1
막스마라,1
KYE,2
던스트,3
르네제이,1
텐먼스,2
수키,1
럭키마르쉐,1
씨떼드씨떼,1
노티아,1
JW앤더슨,1
바나나리퍼블릭,1
쌍띠에,2
크리비아,2
이지센스,2
누브라,1
애니바디,2
큐오엘,1
그리니치,2
하성민기업,1
오테나,1
SECRET,2
감탄브라,1
CUZIAM,2
언더액티브,1
릴리드레스,1
뮬라웨어,2
이너리즘,1
에메필,2
데이즈,1
아이앤비,1
아나콘다,1
루앤,1
마른파이브,1
언더아머,3
엔오티,2
크라시앙,1
달콤한레드,1
별난유니마켓,1
쇼크업소버,1
오르화,1
누모,1
노라인피스,1
와코루,2
시스넬라,1
오네뜨비,2
누벨마리,1
하루반,2
오오아,1
유아이너프,1
에뜨랑제,2
BYC,3
블루그레인,3
치힛,3
보슈아,2
마이핏,2
펄리쉘,1
스팽스,1
에버라스트,3
걸포유,2
데이온,1
리베앙,1
문릿,2
룰루레몬,2
애플스토리,1
더보엠,2
젝시믹스,3
럭센스,1
에어길,1
리무브,1
아이엠로라,1
꼰에야,1
데상트,3
저스트메리드,2
컬럼비아,3
LEE,1
이츠미,1
더웨이나인,1
커스토미,2
유라고,1
하루메이비,2
웨어코렉트,2
크레송,2
스튜디오럭스,3
피그먼트,2
드마르,3
오버듀플레어,3
일루스트리스일루전,2
끄레아또레,2
비키,2
DEBB,2
데코,1
체이스컬트,1
도호,1
허밍퍼플,1
에이비플러스,1
어니스트,1
스타일온미,1
마이오마이,1
킨더살몬,1
레이브,1
멜본,1
프렐린,2
이너프,1
노미나떼,2
로즐리,1
레이스,1
앳코너,1
라르고,1
로시로우,3
띠어리,3
보카바카,2
모리스커밍홈,3
여우팀장,1
벰버,1
이사베이,1
비터셀즈,2
CAMINO,1
뱅뱅,3
캔마트,2
잇진,1
코시보,1
시크폭스,1
드레스코드,1
닉스,2
바닐라비,2
까레라,2
데이텀,1
엘런아크,1
히솝,2
저스트원,1
제이빔,1
더뽐,1
리던,1
블랭크공삼,1
르피타,1
행텐,2
가바,1
더보느,1
모코블링,2
트루릴리전,1
빅보스,2
씨위,1
와르,2
인디고뱅크,1
리틀마켓,2
드넬,1
버커루진,2
노보,1
지프,2
멜로디가든,1
포스,2
유니렉스,1
티뷰크,2
노블,3
파브,2
아트윈,1
라이크빈,2
레뷰가운,3
다이아몬드,1
에이스,2
ZIBEN,3
마크,2
랜더스,1
미라클,1
뉴발란스,3
티뷰,1
LUCIA,1
조마,1
블루종,2
쿠프,2
물랑루즈,2
레드루팡,2
트라이,1
리얼미,1
뚱크,1
착한주름,1
CORNA,2
싸이클린,3
차밍,2
프리클라,1
좋은사람들,2
나른,3
멜로무드,1
P&R,2
모그라미,2
데상트골프,3
피아소,1
릴렉스,1
아레나,3
레이프릴,1
로에드,1
어나더디,2
원쿡,1
위지이버,1
미언더,1
발롱,1
JOCKEY,3
비버리힐즈폴로클럽,3
프로스펙스,3
팔케,2
한나센스,2
바로스포츠,1
라이프그래피,1
언더스미스,1
베이직엘르,1
헌트이너웨어,1
인스타일,1
발리비키,1
서울양말,1
보나핏,1
바디블루,1
베이비앙,1
핑코코,1
오르시떼,1
탑텐키즈,3
첨이첨이,1
마밤,1
토토와모모,1
로토토베베,1
캐치티니핑,1
피카부,1
스파오키즈,1
앙떼떼,1
별별모아,1
무냐무냐,1
에리쏭,1
삐삐롱,1
셀덴,1
새봄씨,1
래핑차일드,1
알콩단잠,1
오가닉맘,1
BEBEZOO,1
모스트,1
더데이걸즈,1
모아모아,1
빌도르,1
SOLO,1
속옷미인,1
폭스,1
혀니미니,1
쁘띠쁘랑,
수아팜,1
이브니에,1
프리미에팜,
올라베이비,2
바보사랑,1
모스트맘,1
오후,1
언브랜디드,1
루나루즈,2
코코로니,1
카카오프렌즈,3
리더스,2
리틀래빗,1
아이멜로,2
도담도담,1
리틀밥독,1
디키즈,3
내셔널지오그래픽,3
심플리,2
카이아크만,2
다니엘크레뮤,2
장롱,1
에디바우어,1
슬레진저,1
BON,3
디엘,1
프랭키뉴욕,3
펠틱스,2
잭필드,2
뭉크,3
샙,3
태그미,3
인디안,2
아킵,1
엄브로,1
올리브그린,2
MIR,2
바닐라커스타드,2
KULTE,2
더험프,2
그라미치,2
밸런스,2
에디션앤드지,2
HotCode,1
릴리전,2
도티,1
슬릭앤이지,1
살롱드쥬,2
칼하트WIP,1
아카이브볼드,2
이상봉,1
산토초이,2
스메르,1
트루젠,3
꼼마꼼마,2
아보크,1
밀라,1
갤럭시,2
바이빈이,2
까르뜨블랑슈,1
안다르,1
에디션,2
파타고니아,3
지이크,2
제이슨우,1
NBA,3
드마크,1
브렌우드,1
뉴에라,3
챔피온,3
엠비오,3
칼하트,3
커스텀멜로우,3
모즈,2
라이프워크,2
나인식스뉴욕,2
플래퍼,1
올포유,2
인터크루,1
꾸즈,1
퐁당,1
폴리스,1
파파야,1
벨리시앙,1
EYEYE,1
몬테밀라노,1
씨엠큐브,1
블룸스버리,1
핫핑,1
시크라인,1
리리옷장,1
오드,2
먼데이홀릭,1
로로텐,2
베이지크,1
클릭앤퍼니,2
뷰앤미,1
가나다란,1
르까프,2
모노그라프,2
얼티밋기어,2
머슬앤뷰티,2
BLACK MONSTER,1
다이나핏,1
멘솔리즘,1
아키클래식,1
스파이더,1
뱅퀴시,2
베러댄라이프,2
알비더블유,2
랜드키퍼,2
슈퍼서브,2
트레스패스,2
짐무크,1
미즈노,2
케이스위스,1
카파,3
윌슨,1
터틀백,1
EXR,2
르꼬끄스포르티브,3
비스트모드,3
스컬피그,2
빈트릴,2
험멜,1
히코튼,2
허머,2
나인티플러스,1
유투,2
JORDAN,3
바니,2
빌리버스,1
온리마인미,2
미나,3
투타임즈유,1
푸마골프,3
조이할리,3
케빌리,1
테이트,2
흄,3
코닥,2
엠포리오아르마니,3
MIK,2
메종키츠네,3
스투시,3
NanDe,3
아미,3
트리플에이,3
자바나스,3
꼼데가르송,3
디젤,3
GANNI,3
세인트제임스,3
샤카웨어,3
MAVERICK,3
MLB,3
프린트스타,2
MLB키즈,3
MSGM,2
제니,1
피어오브갓,1
플랜비,2
세터,2
스톤아일랜드,3
겐조,2
베이직하우스,1
빠니깔레,2
코닥어패럴,2
코오롱스포츠,3
버버리,3
하비,2
바띠소띠,2
노이커먼,2
리브레,2
엘라모,1
꼼파뇨,1
남자다잉,1
소예,2
더탑스,1
티아이포맨,2
NALO,1
닥스키즈,3
워든,2
볼컴,1
엑시오,2
폴스미스,1
게스키즈,2
노티카,1
플루크,2
